10, 22, 10, 21 
10, 21, 10, 20 
10, 20, 10, 19 
10, 19, 10, 18 
10, 18, 11, 18 
11, 18, 12, 18 
12, 18, 12, 17 
12, 17, 12, 16 
12, 16, 13, 16 
13, 16, 14, 16 
14, 16, 14, 15 
14, 15, 15, 15 
15, 15, 15, 14 
15, 14, 16, 14 
16, 14, 16, 13 
16, 13, 17, 13 
17, 13, 17, 12 
17, 12, 18, 12 
18, 12, 19, 12 
19, 12, 19, 11 
19, 11, 19, 10 
19, 10, 20, 10 
20, 10, 21, 10 
21, 10, 21, 9 
21, 9, 22, 9 

18, 22, 17, 22 
17, 22, 16, 22 
16, 22, 15, 22 
15, 22, 14, 22 
14, 22, 13, 22 
13, 22, 12, 22 
12, 22, 11, 22 
11, 22, 10, 22 
10, 22, 9, 22 
9, 22, 8, 22 
8, 22, 7, 22 
7, 22, 6, 22 
6, 22, 5, 22 
5, 22, 4, 22 
4, 22, 3, 22 
3, 22, 3, 23 
3, 23, 2, 23 
2, 23, 2, 24 

0, 5, 1, 5 
1, 5, 1, 6 
1, 6, 2, 6 
2, 6, 3, 6 
3, 6, 4, 6 
4, 6, 5, 6 
5, 6, 5, 7 
5, 7, 6, 7 
6, 7, 7, 7 
7, 7, 8, 7 
8, 7, 9, 7 
9, 7, 10, 7 
10, 7, 11, 7 
11, 7, 11, 8 
11, 8, 12, 8 
12, 8, 12, 9 
12, 9, 13, 9 
13, 9, 13, 10 
13, 10, 14, 10 
14, 10, 14, 11 
14, 11, 14, 12 
14, 12, 14, 13 
14, 13, 15, 13 
15, 13, 15, 14 
15, 14, 16, 14 
16, 14, 17, 14 
17, 14, 17, 15 
17, 15, 17, 16 
17, 16, 18, 16 
18, 16, 19, 16 
19, 16, 19, 17 
19, 17, 20, 17 

